post,label
#duisburg 4 refugiați arabi au înjunghiat o adolescentă germană însărcinată în 5 luni care credea că este... @url,1
@user spune stângacul. când primește amenințări din extrema stângă și vede milioanele de pagube și... @url,0
@user @user @user @user @user cum să dezbateți între stângacii fără nicio contradicție,0
Grecia: transferurile de refugiați și migranți pe continent se accelerează @url @url,1
"@utilizator Nu m-am gândit la asta, dar puțini nord-africani s-au confruntat cu #migranti africani în Nantes.",0
@user @user @utilizatorul care nu votează înseamnă să dea voce macronului lr stângacilor etc,0
"când, în plus, violență socială (pierdere… @url",0
@user @user @user nimeni nu se opreste asupra faptului că mulți dintre ei au amfibieni în esofag?,0
"@user Nu am întârziat în stație, dar afară sună de peste tot, de fapt.",0
"împotriva imigrației și a islamizării Franței, singurul partid care apără Franța este RN (și DLF) @url",1
"@folosește bani pentru migranți... și bani... în primul rând franceză! pentru seniorii noștri, o prioritate națională!",0
Loon Beach: o femeie atacată violent de un grup de migranți @url,0
"ce cred despre asta cei pro-agrochimie, pro-dezvoltare, excesiv de anti-ecologiști și alți sceptici climatici... @url",1
mulți migranți au trăit și ilegal în Statele Unite 35% dintre migranții ilegali interceptați în Quebec... @url,0
"@utilizator țările arabe trebuie doar să le întâmpine, nu o vrem la fel de rău",0
macron și islamizarea Franței un plan bine pus la punct de către institutul montaigne @url,0
@user pentru mine nesemnificația nu merită să fie concentrată!!,0
video gaza: așa numesc mass-media demonstrații. și după tine de ce trimit arabii... @url,0
renois care sunt băieții orașului și care aleargă ca mbappé de îndată ce un câine te cunoaște #thiseventribunal,1
in echipa mea de la universitate clrmt 20 rebeus/renois pe 600 c fierbinte,0
"ei bine, mai sunt niste propozitii foarte frumoase daca te uiti putin la el @user @url",0
@user @user ce face mai exact acest guvern? de ce se oprește asupra trivialităților când... @url,0
@user da dar de dimineata nu am intarziat dupa meci,0
"Să-ți imaginezi că #africanii vin în #Europa este doar o fantezie pură, având în vedere că 90% dintre #imigranții africani se întorc... @url",1
@user @user @user dl simon nu puteți justifica sau atenua violența remarcilor domnului zemmou... @url,0
"@user așa este, încearcă deja să pronunți asta la televizor și vei vedea că seamănă puțin cu expresia de stânga",1
@user @user ptn această violență a întrebării lol,0
@user acest retardat mintal nu are nici măcar diplomă. dă-ți slujba unui șomer.,1
"din nefericire, în #Franța, unul dintre cele zece pierdute găsite! #migranti #stopimmigration @url",1
"pentru cei care se îndoiesc de natura conspirativă și antisionismul delirant al lui Abdelrahim Ali, aici este un fir... @url",0
"dacă #conspirația și uciderea #antisemite din #pittsburgh lovește astăzi în #SUA, să nu uităm că acest ideal... @url",1
ai prefera sa mergi la o petrecere cu celalalt idiot din zoonekynd sau sa mergi la clasa cu celalalt mongol din mahieux? — alex… @url,0
"@utilizator de ce împotriva autismului? Mi se pare stupid să fac din asta un fel de lucru obligatoriu, dar... @url",0
@user @user @user @user doar că de obicei mă concentrez mai mult pe culoarea hainelor mele,0
pentru a pune capăt teoriei conspirației anti-mașină @user @user @url,0
dialectică de stânga interesantă.,0
@user @user @user ar fi: anti islamism (anti radicalism terorism extremism) sau anti i... @url,0
@utilizator da foarte bine! dar încă nu văd corelația cu migranții africani. ^^,0
"@user ptydttyddtrrtdd wow, mă iei drept un arab murdar",1
sunt veganii împotriva avortului?,1
@url @url @url spui rahat de stânga @url,0
